"번호","사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","건물용도명","기존게임업외업종명","문화사업자구분명","문화체육업종명","소방시설여부","시설면적","제공게임물명","주변환경명","지역구분명","총게임기수","최초등록시점","전화번호","위치정보(X)","위치정보(Y)","인허가번호","상세영업상태명"
"1291","뽀끼 뽑기","강원도 춘천시 죽림동 189번지 1동 1107호","강원도 춘천시 중앙로67번길 18, 1동 1107호 (죽림동, 브라운가)","20170420","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","33.73","전체이용가","기타","","12","","","264080.45561800000  ","486757.47898100000  ","CDFF2241142017000012","영업중"
"1292","신나는 뽑기방","전라북도 전주시 덕진구 덕진동2가 664-8번지 ","전라북도 전주시 덕진구 가리내6길 12 (덕진동2가)","20170410","운영중","","","","","","","","","유통관련업","청소년게임제공업","","33","전체이용가","","","6","","","209975.59585100000  ","260844.31229200000  ","CDFF2241142017000042","영업중"
"1293","인형뽑기 온가족놀이터","경기도 안산시 상록구 이동 534-12번지 104호","경기도 안산시 상록구 도매시장로 59, 1층 104호 (이동)","20170410","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","30","전체이용가","기타","일반주거지역","10","","","187655.55089600000  ","423620.82424800000  ","CDFF2241142017000027","영업중"
"1294","큐브존 포항롯데점","경상북도 포항시 북구 대흥동 563-3번지 ","경상북도 포항시 북구 중앙상가길 16, 3층 (대흥동)","20170424","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","154.44","전체이용가","","","33","","","412973.20619900000  ","284694.66801900000  ","CDFF2241142017000028","영업중"
"1295","스마트 게임랜드","부산광역시 금정구 서동 207-16번지 ","부산광역시 금정구 서동로 195 (서동)","20170424","운영중","","","","","","","","","유통관련업","청소년게임제공업","","161.58","전체이용가","","","","","","391933.81604100000  ","192911.63132600000  ","CDFF2241142017000019","영업중"
"1296","블랙랜드","경상북도 김천시 용두동 51-1번지 ","경상북도 김천시 용암로 32-1 (용두동)","20170424","운영중","","","","","","","","","유통관련업","청소년게임제공업","","66.04","전체이용가","","","45","","","301605.49626600000  ","292203.60289200000  ","CDFF2241142017000011","영업중"
"1297","뽑고가게","부산광역시 사하구 다대동 1548-33번지 몰운대종합시장상가 A동 120호","부산광역시 사하구 다대로 702-2, A동 1층 120호 (다대동, 몰운대종합시장상가)","20170320","운영중","","","","","","","","","유통관련업","청소년게임제공업","","24.08","전체이용가","","","6","","","379266.69753600000  ","174308.65504400000  ","CDFF2241142017000006","영업중"
"1298","펑샵","강원도 철원군 갈말읍 신철원리 674-1번지 ","강원도 철원군 갈말읍 삼부연로17번길 3","20170406","운영중","","","","","","","","","유통관련업","청소년게임제공업","","26.44","전체이용가","","","6","","","227141.58117600000  ","516217.45092900000  ","CDFF2241142017000002","영업중"
"1299","인형 뽑다방","서울특별시 송파구 거여동 546번지 ","서울특별시 송파구 오금로64길 3, 1층 (거여동)","20170406","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","33","전체이용가","주택가주변","일반주거지역","7","","","213049.91116600000  ","443680.78816800000  ","CDFF2241142017000012","영업중"
"1300","추억의 뽑기방","울산광역시 중구 우정동 284-3번지 ","울산광역시 중구 명륜로 40, 1층 (우정동, 삼우아파트)","20170330","운영중","","","","","","","","","유통관련업","청소년게임제공업","","15","전체이용가","","","7","","","409435.28253200000  ","231205.76481400000  ","CDFF2241142017000011","영업중"
"1301","뽑기왕","서울특별시 금천구 시흥동 888-9번지 ","서울특별시 금천구 시흥대로52길 32, 지상1층 (시흥동)","20170331","운영중","","","","","","","","","유통관련업","청소년게임제공업","","23.43","전체이용가","","","10","","","191360.61204900000  ","439270.22876300000  ","CDFF2241142017000011","영업중"
"1302","그것이 뽑고싶다","울산광역시 남구 무거동 1168-1번지 ","울산광역시 남구 어은로3번길 5, 1층 (무거동)","20170419","운영중","","","","","","","","","유통관련업","청소년게임제공업","","16.92","전체이용가","","","7","","052-249-9982","406075.31705400000  ","230483.14079700000  ","CDFF2241142017000027","영업중"
"1303","픽미업","충청남도 당진시 읍내동 299번지 ","충청남도 당진시 계성3길 14, 1층 (읍내동)","20170331","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","28.5","전체이용가","학교정화(상대)","일반주거지역","12","","","167435.68912600000  ","377791.05121100000  ","CDFF2241142017000014","영업중"
"1304","뽑기노리","부산광역시 금정구 서동 171-24번지 ","부산광역시 금정구 서금로 3-1 (서동)","20170322","운영중","","","","","","","","","유통관련업","청소년게임제공업","","50","전체이용가","","","","","","391444.00542900000  ","193219.35987900000  ","CDFF2241142017000016","영업중"
"1305","뽑기나라","서울특별시 관악구 봉천동 1613-2번지 지하1층 맨우측1호 ","서울특별시 관악구 관악로14길 60, 지하1층 맨우측1호 (봉천동)","20170403","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","16","전체이용가","주택가주변","일반주거지역","10","","","196089.10463400000  ","442113.22018600000  ","CDFF2241142017000016","영업중"
"1306","짱 게임랜드","충청북도 음성군 금왕읍 무극리 220-4번지 2층 ","충청북도 음성군 금왕읍 무극로309번길 6-3, 2층","20170403","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","132.32","전체이용가","","일반상업지역","13","","","253056.10872900000  ","388544.39892000000  ","CDFF2241142017000005","영업중"
"1307","뽑기오빠","인천광역시 서구 연희동 799-7번지 청라프라자 113호 ","인천광역시 서구 중봉대로612번길 10-20, 113호 (연희동, 청라프라자)","20170321","운영중","","","","","","","","","유통관련업","청소년게임제공업","","45.24","전체이용가","","","15","","","169239.86079200000  ","448262.64985700000  ","CDFF2241142017000020","영업중"
"1308","인형뽑기놀이터 망원점","서울특별시 마포구 망원동 379-2번지 1층 ","서울특별시 마포구 월드컵로13길 17, 1층 (망원동)","20170321","운영중","","","","","","","","","유통관련업","청소년게임제공업","","45.69","전체이용가","","","10","","","191985.66567400000  ","450671.58794600000  ","CDFF2241142017000010","영업중"
"1309","유통게임랜드","대구광역시 북구 산격동 180번지 2층 ","대구광역시 북구 유통단지로8길 72, 2층 (산격동)","20170321","운영중","","","","","","","","","유통관련업","청소년게임제공업","","178.58","전체이용가","","","","","053-384-5989","345572.17395500000  ","268741.53284800000  ","CDFF2241142017000006","영업중"
"1310","함박마을 오락짱","인천광역시 연수구 연수동 507-3번지 ","인천광역시 연수구 비류대로433번길 21 (연수동)","20170307","운영중","","","","","","","","","유통관련업","청소년게임제공업","","35.5","전체이용가","","","9","","","171917.18533200000  ","436263.19829000000  ","CDFF2241142017000008","영업중"
"1311","뽑아방","서울특별시 양천구 신정동 1183-4번지 105호","서울특별시 양천구 중앙로 267, 1층 5호 (신정동)","20170324","운영중","","","","","","","","","유통관련업","청소년게임제공업","","33","전체이용가","","","12","","","186968.69685800000  ","446746.48505700000  ","CDFF2241142017000022","영업중"
"1312","플레이스퀘어 사랑","서울특별시 양천구 목동 723-11번지 101호","서울특별시 양천구 목동중앙남로 61, 101호 (목동)","20170324","운영중","","","","","","","","","유통관련업","청소년게임제공업","","30","전체이용가","","","","","","188146.53071300000  ","448862.23786200000  ","CDFF2241142017000023","영업중"
"1313","플레이스퀘어 파라곤","서울특별시 양천구 목동 917번지 목동파라곤 지1층 B-118호","서울특별시 양천구 목동서로 155, 지1층 B-118-1호 (목동, 목동파라곤)","20170324","운영중","","","","","","","","","유통관련업","청소년게임제공업","","46.61","전체이용가","","","","","","188988.41792100000  ","447840.59078300000  ","CDFF2241142017000024","영업중"
"1314","인형뽑기","서울특별시 강남구 역삼동 700-35번지 ","서울특별시 강남구 언주로98길 26, 1층 (역삼동)","20170324","운영중","","","","","","","","","유통관련업","청소년게임제공업","","33","전체이용가","","","10","","","203878.62872800000  ","445028.98753400000  ","CDFF2241142017000008","영업중"
"1315","인형#","경기도 남양주시 진접읍 장현리 365-4번지 ","경기도 남양주시 진접읍 장현로 141","20170324","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","50.4","전체이용가","","","11","","","216393              ","468787              ","CDFF2241142017000023","영업중"
"1316","터미널게임랜드","부산광역시 사상구 괘법동 545-18번지 ","부산광역시 사상구 광장로 81 (괘법동, 우주빌딩)","20170309","운영중","","","","","","","","","유통관련업","청소년게임제공업","","231.68","전체이용가","","","80","","","380912.43140700000  ","186947.67373400000  ","CDFF2241142017000007","영업중"
"1317","뽑기달인","경기도 의정부시 민락동 812-3번지 ","경기도 의정부시 오목로205번길 21, 1층 119호 (민락동)","20170317","운영중","","","","","","","","","유통관련업","청소년게임제공업","","45.6","전체이용가","","","7","","","208524              ","471416              ","CDFF2241142017000014","영업중"
"1318","뽑기신","경기도 고양시 일산서구 대화동 2606번지 원마운트 1층 1252호","경기도 고양시 일산서구 한류월드로 300, 1층 1252호 (대화동, 원마운트)","20170307","운영중","","","","","","","","","유통관련업","청소년게임제공업","","34","전체이용가","기타","","10","","","178195              ","462379              ","CDFF2241142017000032","영업중"
"1319","뽑기뽑기","경기도 고양시 일산서구 대화동 2606번지 원마운트 1층 1225,1226 ","경기도 고양시 일산서구 한류월드로 300, 1층 1225,1226호 (대화동, 원마운트)","20170307","운영중","","","","","","","","","유통관련업","청소년게임제공업","","77","전체이용가","","","17","","","178195              ","462379              ","CDFF2241142017000033","영업중"
"1320","뽀끼뽀끼","광주광역시 광산구 송정동 840-22번지 ","광주광역시 광산구 광산로 11-1, 1층 (송정동)","20170307","운영중","","","","","","","","","유통관련업","청소년게임제공업","","42.31","전체이용가","","","10","","","181164.72541200000  ","182432.26246900000  ","CDFF2241142017000011","영업중"
"1321","첨단게임랜드","광주광역시 광산구 쌍암동 668-2번지 ","광주광역시 광산구 첨단중앙로152번길 40, 2층 (쌍암동)","20170324","운영중","","","","","","","","","유통관련업","청소년게임제공업","","164","전체이용가","","","50","","","185838.69156700000  ","191383.03497700000  ","CDFF2241142017000017","영업중"
"1322","프렌즈뽑기방","전라북도 전주시 덕진구 인후동2가 1554-3번지 ","전라북도 전주시 덕진구 명주5길 16 (인후동2가)","20170324","운영중","","","","","","","","","유통관련업","청소년게임제공업","","45","전체이용가","","","6","","","213602.46693500000  ","260809.80818800000  ","CDFF2241142017000036","영업중"
"1323","락휴놀이존","전라북도 완주군 이서면 갈산리 665-1번지 ","전라북도 완주군 이서면 오공로 21-29","20170324","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","53.55","전체이용가","","","13","","","205105              ","259747              ","CDFF2241142017000004","영업중"
"1324","TOY BOX","충청북도 청주시 서원구 산남동 652번지 1층 ","충청북도 청주시 서원구 산남로 50, 1층 (산남동, 삼한프라자)","20170324","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","70","전체이용가","기타","일반상업지역","15","","","241914.64914900000  ","345995.57152200000  ","CDFF2241142017000014","영업중"
"1325","황금알 게임랜드","대전광역시 서구 월평동 496번지 ","대전광역시 서구 한밭대로570번길 32, 2층 (월평동)","20170323","운영중","","","","","","","","","유통관련업","청소년게임제공업","","290","전체이용가","","","80","","","232475.68393200000  ","317722.24920300000  ","CDFF2241142017000027","영업중"
"1326","뽑겟몬","대전광역시 서구 관저동 1302번지 ","대전광역시 서구 관저동로93번길 27, 1층 (관저동)","20170323","운영중","","","","","","","","","유통관련업","청소년게임제공업","","221.6","전체이용가","","","","","","230416.20625500000  ","311413.15733400000  ","CDFF2241142017000028","영업중"
"1327","멀티겜방","경기도 수원시 권선구 세류동 1093-9번지 ","경기도 수원시 권선구 세지로28번길 31-3, 1층 (세류동)","20170327","운영중","","","","","","","","","유통관련업","청소년게임제공업","","132.01","전체이용가","","","22","","","201474              ","416931              ","CDFF2241142017000035","영업중"
"1328","뽀꼬뽀꼬 표선점","제주특별자치도 서귀포시 표선면 표선리 604번지 ","제주특별자치도 서귀포시 표선면 표선동서로 254-4, 1층","20170816","운영중","","","","","","","","","유통관련업","청소년게임제공업","","30","전체이용가","","","","","","184477.89317900000  ","-18553.79400210000  ","CDFF2241142017000013","영업중"
"1329","뽑아봅세 서귀포점","제주특별자치도 서귀포시 서귀동 424번지 ","제주특별자치도 서귀포시 중정로 56, 1층 (서귀동)","20170525","운영중","","","","","","","","","유통관련업","청소년게임제공업","","82.64","전체이용가","","","15","","","159211.97852500000  ","-27212.25060490000  ","CDFF2241142017000009","영업중"
"1330","뽑기오빠","충청북도 청주시 청원구 오창읍 양청리 791-4번지 ","충청북도 청주시 청원구 오창읍 중심상업1로 8-46, 112호","20170524","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","48","전체이용가","","중심상업지역","10","","","238318.28282000000  ","357575.65799900000  ","CDFF2241142017000022","영업중"
"1331","Space Multi G-zone","인천광역시 연수구 동춘동 933-15번지 ","인천광역시 연수구 앵고개로246번길 39-22, 1층 (동춘동, 청산빌딩)","20170525","운영중","","","","","","","","","유통관련업","청소년게임제공업","","149.4","전체이용가","유흥업소밀집지역","","30","","","170951.16039300000  ","434240.71287900000  ","CDFF2241142017000014","영업중"
"1332","제니스 게임랜드","부산광역시 금정구 서동 206-13번지 ","부산광역시 금정구 서동로175번길 32, 3층 (서동)","20170525","운영중","","","","","","","","","유통관련업","청소년게임제공업","","89.04","전체이용가","","","40","","","391899.10462700000  ","192990.84188500000  ","CDFF2241142017000020","영업중"
"1333","놀이터 인형뽑기","서울특별시 송파구 거여동 2-8번지 ","서울특별시 송파구 성내천로 134, 1층 (거여동)","20170524","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","30","전체이용가","주택가주변","일반주거지역","8","","","212664.22306800000  ","444400.99671900000  ","CDFF2241142017000019","영업중"
"1334","PUNG PUNG인형뽑기","서울특별시 양천구 목동 404-156번지 대경프라자 108호","서울특별시 양천구 신목로 102, 108호 (목동, 대경프라자)","20170525","운영중","","","","","","","","","유통관련업","청소년게임제공업","","60.6","전체이용가","","","10","","","189018.78595800000  ","447129.38607300000  ","CDFF2241142017000028","영업중"
"1335","몰랑뽑기방","","대전광역시 중구 수침로55번길 45 (태평동)","20170525","운영중","99991231","","99991231","","","","근린생활시설","","유통관련업","청소년게임제공업","","21.99","전체이용가","기타","일반주거지역","9","","","235767.49844400000  ","314218.16562900000  ","CDFF2241142017000028","영업중"
"1336","짱인형뽑기","경기도 용인시 처인구 이동면 천리 762-6번지 1층 ","경기도 용인시 처인구 이동면 백옥대로 653, 1층","20170526","운영중","","","","","","","","","유통관련업","청소년게임제공업","","41","전체이용가","","","14","","","218340.21513800000  ","410687.40534500000  ","CDFF2241142017000031","영업중"
"1337","롤링게임스테이션(삼성물산)","경기도 용인시 처인구 포곡읍 전대리 506번지 J-9동(1층) ","경기도 용인시 처인구 포곡읍 에버랜드로 199 (삼성에버랜드 J-9동(1층))","20170526","운영중","","","","","","","","","유통관련업","청소년게임제공업","","30.24","전체이용가","","","8","","","219283.64599100000  ","422114.48348100000  ","CDFF2241142017000032","영업중"
"1338","해피뽑기방","경상북도 구미시 공단동 253-2번지 ","경상북도 구미시 산호대로 233, 4층 401호 (공단동, 구미BOXIN)","20170526","운영중","","","","","","","","","유통관련업","청소년게임제공업","","20.86","전체이용가","","","6","","","324712.92471400000  ","290506.45311100000  ","CDFF2241142017000025","영업중"
"1339","탑건사격장","전라남도 순천시 해룡면 신대리 1977-4번지 1층 108호","전라남도 순천시 해룡면 신대1길 4-21, 1층 108호","20170524","운영중","","","","","","","","","유통관련업","청소년게임제공업","","59.8","전체이용가","","","8","","","249994              ","159648              ","CDFF2241142017000017","영업중"
"1340","뽑아방","서울특별시 은평구 불광동 239-61번지 1층 ","서울특별시 은평구 불광로 95, 1층 (불광동)","20170524","운영중","","","","","","","","","유통관련업","청소년게임제공업","","35","전체이용가","","","","","","194055.52263300000  ","457312.09710400000  ","CDFF2241142017000015","영업중"
"1341","인형짱","경기도 안산시 단원구 원곡동 838번지 104호","경기도 안산시 단원구 화랑로 102, 104호 (원곡동, 은하연립 상가)","20170526","운영중","","","","","","","","","유통관련업","청소년게임제공업","","27.01","전체이용가","","","13","","","182214              ","424999              ","CDFF2241142017000034","영업중"
"1342","픽미업","전라북도 전주시 덕진구 송천동1가 101-3번지 신일아파트 상가 106동 113호","전라북도 전주시 덕진구 솔내로 142 (송천동1가, 신일아파트)","20170526","운영중","","","","","","","","","유통관련업","청소년게임제공업","","29.64","전체이용가","","","11","","","211629.55376800000  ","262828.36735500000  ","CDFF2241142017000051","영업중"
"1343","뽀바뽀바","광주광역시 광산구 송정동 990-30번지 ","광주광역시 광산구 송정로8번길 10-2 (송정동)","20170526","운영중","","","","","","","","","유통관련업","청소년게임제공업","","13.2","전체이용가","","","4","","","181033.77737800000  ","182274.47796600000  ","CDFF2241142017000024","영업중"
"1344","송현게임랜드","대구광역시 달서구 송현동 195-7번지 (2층) ","대구광역시 달서구 월배로 450, 2층 (송현동)","20120810","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","185.85","전체이용가","기타","상업지역","40","","","340479.69200900000  ","260684.70892900000  ","CDFF2241142012000011","영업중"
"1345","드림플스방","대구광역시 달서구 신당동 1721-13번지 (5층) ","대구광역시 달서구 계대동문로 11-1, 5층 (신당동)","20120918","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","197.37","전체이용가","기타","일반주거지역","57","","053-587-5858","334921.83468100000  ","263075.40250800000  ","CDFF2241142012000015","영업중"
"1346","용산게임랜드","대구광역시 달서구 용산동 932-2번지 (3층) ","대구광역시 달서구 달구벌대로301길 187, 3층 (용산동)","20121024","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","207.76","전체이용가","","준주거지역","40","","","338319.81291300000  ","263404.95650400000  ","CDFF2241142012000017","영업중"
"1347","죽전게임랜드","대구광역시 달서구 죽전동 256-5번지 ","대구광역시 달서구 와룡로 226 (죽전동)","20130423","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","233.16","전체이용가","주택가주변","일반주거지역","40","","","338902.71388800000  ","262819.36754200000  ","CDFF2241142013000003","영업중"
"1348","블루게임랜드","대구광역시 달서구 본리동 1217-1번지 ","대구광역시 달서구 용산로 11, 5층 (본리동)","20130613","운영중","","","","","","","","","유통관련업","청소년게임제공업","","248.95","전체이용가","기타","준주거지역","40","","","338270.51643700000  ","261190.22813700000  ","CDFF2241142013000004","영업중"
"1349","부성오락실","대구광역시 달서구 호산동 713-6번지 ","대구광역시 달서구 달서대로95길 13, 3층 (호산동)","20130705","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","175.4","전체이용가","","일반상업지역","40","","","334633.33427200000  ","261516.44187600000  ","CDFF2241142013000005","영업중"
"1350","태평양게임랜드","대구광역시 달서구 대곡동 9번지 ","대구광역시 달서구 비슬로 2694, 2층 (대곡동)","20130711","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","216.39","전체이용가","기타","일반주거지역","40","","","336498.56048000000  ","257817.74222000000  ","CDFF2241142013000006","영업중"
"1351","토마토게임랜드","대구광역시 달서구 본리동 1208-4번지 3층 ","대구광역시 달서구 용산로 21, 3층 (본리동)","20131031","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","180.6","전체이용가","기타","준주거지역","40","","","338271.26984800000  ","261296.89193400000  ","CDFF2241142013000011","영업중"
"1352","황금오락실","대구광역시 달서구 이곡동 1220-6번지 4층 ","대구광역시 달서구 달구벌대로251안길 28, 4층 (이곡동)","20131211","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","62.71","전체이용가","","일반상업지역","40","","","336023.80453100000  ","262853.74053000000  ","CDFF2241142013000016","영업중"
"1353","두꺼비게임랜드","대구광역시 달서구 이곡동 1213-1번지 202호","대구광역시 달서구 이곡서로 21, 202호 (이곡동)","20140714","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","210","전체이용가","","일반상업지역","40","","","335919.28682600000  ","262863.46376700000  ","CDFF2241142014000005","영업중"
"1354","삼우오락실","대구광역시 달서구 상인동 1332-138번지 ","대구광역시 달서구 상화로 295, 2층 (상인동)","20141015","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","150.06","전체이용가","","일반주거지역","40","","","339721.37839000000  ","257918.94423000000  ","CDFF2241142014000011","영업중"
"1355","두꺼비오락실","대구광역시 달서구 본리동 1209-1번지 2층 ","대구광역시 달서구 용산로 19, 2층 (본리동)","20141024","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","100.98","전체이용가","","준주거지역","40","","","338268.52761000000  ","261274.39186200000  ","CDFF2241142014000012","영업중"
"1356","게임랜드","대구광역시 달서구 송현동 129-5번지 1층 ","대구광역시 달서구 학산로 239, 1층 (송현동)","20141114","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","66","전체이용가","","일반주거지역","40","","","340287.01950200000  ","260728.95154100000  ","CDFF2241142014000014","영업중"
"1357","골프게임랜드","대구광역시 달서구 본리동 377-1번지 5층 ","대구광역시 달서구 와룡로 98, 5층 (본리동)","20150126","운영중","","","","","","","","","유통관련업","청소년게임제공업","","132","전체이용가","","중심상업지역","40","","","338901.13005800000  ","261540.24305300000  ","CDFF2241142015000002","영업중"
"1358","호박게임랜드","대구광역시 달서구 성당동 263-9번지 3층 ","대구광역시 달서구 구마로 239, 3층 (성당동)","20150310","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","238.67","전체이용가","","근린상업지역","","","","340405.05992700000  ","261112.70712200000  ","CDFF2241142015000004","영업중"
"1359","홈런게임장","대구광역시 달서구 신당동 1790-19번지 (1층) ","대구광역시 달서구 서당로7길 50 (신당동,(1층))","20071204","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","173.76","전체이용가","기타","일반주거지역","60","","586-0776","334835.74798800000  ","262998.28216500000  ","CDFF2241142007000013","영업중"
"1360","런던오락실","대구광역시 달서구 죽전동 203-10번지 (1층) ","대구광역시 달서구 죽전길 103  (죽전동,(1층))","20080509","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","77.44","전체이용가","학교정화(상대)","","","","555-1512","339118.10550800000  ","263205.33537600000  ","CDFF2241142008000008","영업중"
"1361","(주)이월드 히말라야오락실","대구광역시 달서구 두류동 산 302-11번지 (1층) ","대구광역시 달서구 두류공원로 200, 1층 (두류동)","20080515","운영중","","","","","","","유기장","","유통관련업","청소년게임제공업","","155","전체이용가","기타","자연녹지지역","24","","620-0210","341524.40681600000  ","263076.64774100000  ","CDFF2241142008000011","영업중"
"1362","(주)이월드 피터팬오락실","대구광역시 달서구 두류동 산 302-11번지 (1층) ","대구광역시 달서구 두류공원로 200, 1층 (두류동)","20080515","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","200","전체이용가","기타","자연녹지지역","25","","620-0210","341524.40681600000  ","263076.64774100000  ","CDFF2241142008000012","영업중"
"1363","와우게임랜드","대구광역시 달서구 도원동 1432번지 (지하1층) ","대구광역시 달서구 도원로 24  (도원동,(지하1층))","20080516","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","137.47","전체이용가","","","28","","638-3382","338783.46142800000  ","257782.74302000000  ","CDFF2241142008000013","영업중"
"1364","토이랜드","경기도 성남시 수정구 창곡동 509-3번지 ","경기도 성남시 수정구 위례광장로 320, 112,113호 (창곡동, 아이에스센트럴타워)","20170525","운영중","","","","","","","","","유통관련업","청소년게임제공업","","79.8","전체이용가","","","","","","212555              ","441119              ","CDFF2241142017000031","영업중"
"1365","프린스오락실","대구광역시 달서구 감삼동 206-76번지 (지하1층) ","대구광역시 달서구 당산로 85  (감삼동,(지하1층))","20080520","운영중","","","","","","","","","유통관련업","청소년게임제공업","","288.84","전체이용가","","일반주거지역","40","","561-0577","339513.66956900000  ","261962.68441900000  ","CDFF2241142008000020","영업중"
"1366","행운 오락실","대구광역시 달서구 성당동 263-5번지 (지하1층) ","대구광역시 달서구 구마로 241, 지하1층 (성당동)","20080624","운영중","","","","","","","","","유통관련업","청소년게임제공업","","138.83","전체이용가","","","40","","","340421.02774700000  ","261122.10466700000  ","CDFF2241142008000032","영업중"
"1367","서남오락실","대구광역시 달서구 감삼동 55-9번지 (2층) ","대구광역시 달서구 달구벌대로329길 35  (감삼동,(2층))","20080723","운영중","","","","","","","","","유통관련업","청소년게임제공업","","135.14","전체이용가","","일반주거지역","","","","339511.043429       ","262764.538125       ","CDFF2241142008000052","영업중"
"1368","시네마오락실","대구광역시 달서구 이곡동 1244-1번지 ","대구광역시 달서구 성서로 414, 405호,406호 (이곡동, 성서롯데시네마)","20090701","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","34.85","전체이용가","","일반상업지역","17","","","336201.06107400000  ","262942.53977300000  ","CDFF2241142009000014","영업중"
"1369","게임천국","대구광역시 달서구 송현동 1033-16번지 (지하1층) ","대구광역시 달서구 월배로 481, 지하1층 (송현동)","20090703","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","355.76","전체이용가","","","24","","","340589.03302800000  ","260981.14373500000  ","CDFF2241142009000016","영업중"
"1370","대박게임랜드","대구광역시 달서구 두류동 1254-4번지 (2층) ","대구광역시 달서구 파도고개로 114, 2층 (두류동)","20100106","운영중","","","","","","","","","유통관련업","청소년게임제공업","","111.33","전체이용가","","","40","","","341757.18674300000  ","263090.79113000000  ","CDFF2241142010000001","영업중"
"1371","맥스라이더","대구광역시 달서구 상인동 171-1번지 홈플러스지하2층 ","대구광역시 달서구 월배로 183  (상인동,홈플러스지하2층)","20100106","운영중","","","","","","","","","유통관련업","청소년게임제공업","","72.8","전체이용가","","상업지역","1","","02-861-5801","338605.98022800000  ","258997.78917000000  ","CDFF2241142010000002","영업중"
"1372","대박게임랜드","대구광역시 달서구 송현동 195-1번지 (2층) ","대구광역시 달서구 월배로 454  (송현동,(2층))","20100325","운영중","","","","","","","","","유통관련업","청소년게임제공업","","168.72","전체이용가","","","","","","340493.10223800000  ","260708.95077400000  ","CDFF2241142010000011","영업중"
"1373","계명게임장","대구광역시 달서구 신당동 1721-3번지 (1층) ","대구광역시 달서구 서당로9길 49  (신당동,(1층))","20100506","운영중","","","","","","","","","유통관련업","청소년게임제공업","","42","전체이용가","","","6","","588-0071","334849.25697800000  ","263111.89275800000  ","CDFF2241142010000025","영업중"
"1374","현대오락실","대구광역시 달서구 상인동 1556번지 (지하1층) ","대구광역시 달서구 상화북로 178, 지하1층 (상인동)","20101115","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","169.68","전체이용가","","","40","","","339665.49438400000  ","258326.52196600000  ","CDFF2241142010000042","영업중"
"1375","4D월드","대구광역시 달서구 도원동 1432번지 (1층) ","대구광역시 달서구 도원로 24  (도원동,(1층))","20110107","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","36.55","전체이용가","","상업지역","1","","635-3340","338783.46142800000  ","257782.74302000000  ","CDFF2241142011000001","영업중"
"1376","봉창이게임랜드","대구광역시 달서구 이곡동 1224-1번지 2층 ","대구광역시 달서구 달구벌대로251안길 17, 2층 (이곡동)","20110718","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","399","전체이용가","","일반상업지역","50","","","336051.53084500000  ","262793.40214700000  ","CDFF2241142011000011","영업중"
"1377","태양 오락실","대구광역시 달서구 죽전동 255-15번지 (1층) ","대구광역시 달서구 와룡로48길 12  (죽전동,(1층))","20110728","운영중","","","","","","","","","유통관련업","청소년게임제공업","","106.05","전체이용가","","","40","","","338944.06858700000  ","262888.10716300000  ","CDFF2241142011000015","영업중"
